time,Lead_I,Lead_II
3.86,0.2844,0.2042
3.864,0.2621,0.1962
3.868,0.2791,0.1862
3.872,0.2455,0.1633
3.876,0.2198,0.168
3.88,0.1869,0.1258
3.884,0.2179,0.1313
3.888,0.1757,0.1139
3.892,0.1379,0.1015
3.896,0.1239,0.0802
3.9,0.0864,0.0757
3.904,0.095,0.0593
3.908,0.0728,0.0409
3.912,0.0658,0.0643
3.916,0.0577,0.0295
3.92,0.0538,0.0376
3.924,0.0431,0.0164
3.928,0.0225,0.0342
3.932,0.0407,0.0086
3.936,0.0096,-0.0077
3.94,-0.0025,0.0237
3.944,0.0083,-0.0073
3.948,-0.0031,0.0242
3.952,0.0082,0.002
3.956,0.0173,-0.0007
3.96,0.0064,-0.0086
3.964,-0.0064,-0.0093
3.968,-0.002,0.0139
3.972,0.0034,0.0075
3.976,-0.0101,0.004
3.98,-0.0227,0.01
3.984,0.0005,0.0031
3.988,0.0064,-0.0202
3.992,-0.0199,-0.0029
3.996,0.0086,-0.0022
4.0,0.0142,-0.0105
4.004,0.0348,-0.0142
4.008,0.0107,0.0014
4.012,0.0123,-0.0004
4.016,0.0019,-0.0178
4.02,-0.0072,0.0218
4.024,-0.0101,-0.0086
4.028,-0.0037,-0.0062
4.032,0.002,0.0004
4.036,-0.0196,0.005
4.04,-0.0184,-0.0068
4.044,0.0108,0.0103
4.048,-0.015,-0.0065
4.052,-0.0023,0.0033
4.056,0.0089,-0.0022
4.06,-0.0163,-0.0028
4.064,0.0082,0.0109
4.068,-0.0022,-0.0005
4.072,0.0165,-0.014
4.076,0.0001,-0.002
4.08,-0.0151,0.0032
4.084,-0.0076,0.0019
4.088,-0.0032,0.006
4.092,-0.0108,-0.0008
4.096,0.01,-0.0025
4.1,-0.0154,0.0039
4.104,0.0008,0.0074
4.108,0.0011,0.0069
4.112,0.0028,-0.0039
4.116,0.0096,-0.0082
4.12,0.0084,-0.0173
4.124,0.0181,0.0167
4.128,-0.0074,-0.0109
4.132,0.0188,-0.0017
4.136,0.0047,0.0019
4.14,0.0001,-0.0163
4.144,0.0102,-0.0028
4.148,-0.0011,0.0037
4.152,-0.0075,0.0074
4.156,-0.0004,-0.02
4.16,0.0144,-0.009
4.164,0.0029,0.012
4.168,0.0066,-0.0027
4.172,-0.0113,0.0042
4.176,-0.002,0.0023
4.18,-0.007,0.0036
4.184,-0.003,-0.0076
4.188,-0.008,-0.0055
4.192,-0.0015,-0.0131
4.196,0.0159,0.0098
4.2,0.0124,0.0173
4.204,0.0395,0.0333
4.208,0.0488,0.0284
4.212,0.0536,0.0437
4.216,0.0769,0.0399
4.22,0.092,0.0682
4.224,0.1024,0.0497
4.228,0.1267,0.0926
4.232,0.143,0.0915
4.236,0.1573,0.1029
4.24,0.1571,0.1159
4.244,0.145,0.0833
4.248,0.1255,0.077
4.252,0.1305,0.0905
4.256,0.1137,0.0762
4.26,0.0707,0.0646
4.264,0.0819,0.0701
4.268,0.067,0.0255
4.272,0.0407,0.0356
4.276,0.0438,0.0305
4.28,0.0074,0.018
4.284,0.0142,0.0171
4.288,0.0096,0.0222
4.292,-0.0013,0.0042
4.296,-0.0028,0.0132
4.3,0.0064,-0.0189
4.304,0.002,0.0217
4.308,-0.0187,0.0038
4.312,-0.0076,0.0114
4.316,-0.0119,-0.001
4.32,0.0262,-0.0237
4.324,0.0241,-0.0019
4.328,-0.0045,-0.0165
4.332,0.0004,0.0092
4.336,0.0025,0.0052
4.34,-0.0068,-0.0118
4.344,-0.0022,0.0079
4.348,-0.016,-0.0061
4.352,-0.0036,-0.0018
4.356,-0.0002,-0.0042
4.36,-0.0079,-0.0015
4.364,-0.0234,-0.0209
4.368,-0.0659,-0.0327
4.372,-0.0791,-0.0765
4.376,-0.1268,-0.0889
4.38,-0.1041,-0.0774
4.384,0.0021,0.0077
4.388,0.2263,0.1597
4.392,0.556,0.3872
4.396,0.87,0.5891
4.4,0.9611,0.6792
4.404,0.8531,0.5741
4.408,0.5129,0.3561
4.412,0.1777,0.127
4.416,-0.0874,-0.0702
4.42,-0.2109,-0.1457
4.424,-0.1892,-0.1537
4.428,-0.1482,-0.1127
4.432,-0.084,-0.0519
4.436,-0.0272,-0.017
4.44,-0.0223,-0.0346
4.444,0.0085,0.0136
4.448,0.0119,0.0125
4.452,0.0075,-0.0002
4.456,-0.003,-0.0052
4.46,0.003,-0.0267
4.464,0.0001,-0.0007
4.468,0.0098,-0.0115
4.472,-0.0208,0.0008
4.476,0.0299,-0.0064
4.48,0.0097,-0.0073
4.484,-0.0041,0.0066
4.488,0.004,-0.0144
4.492,-0.0225,-0.0188
4.496,0.0006,0.0076
4.5,0.005,0.0111
4.504,-0.0034,0.008
4.508,0.0202,-0.0046
4.512,0.0115,-0.0034
4.516,-0.0008,0.0078
4.52,-0.0098,-0.023
4.524,0.0024,-0.0003
4.528,-0.0002,0.0047
4.532,0.0081,0.0159
4.536,0.0009,0.0117
4.54,-0.006,-0.0028
4.544,0.0042,-0.0005
4.548,-0.0096,0.0104
4.552,0.0006,0.0159
4.556,-0.0028,0.0227
4.56,0.0072,0.0266
4.564,0.0233,0.0083
4.568,0.0227,0.0158
4.572,0.0261,0.0224
4.576,0.0294,0.0324
4.58,0.0503,0.0386
4.584,0.0519,0.0369
4.588,0.0405,0.0514
4.592,0.0926,0.0421
4.596,0.1034,0.0498
4.6,0.1225,0.0799
4.604,0.1271,0.096
4.608,0.1343,0.0905
4.612,0.172,0.1458
4.616,0.1827,0.1411
4.62,0.2106,0.1374
4.624,0.2333,0.1658
4.628,0.2543,0.1562
4.632,0.2622,0.1839
4.636,0.2791,0.1835
4.64,0.2749,0.1947
4.644,0.3035,0.2032
4.648,0.292,0.2114
4.652,0.2859,0.211
4.656,0.3116,0.2195
4.66,0.2936,0.1972
4.664,0.2709,0.1798
4.668,0.2635,0.1836
4.672,0.2208,0.1719
4.676,0.2397,0.1534
4.68,0.2199,0.1391
4.684,0.1796,0.1088
4.688,0.1776,0.1162
4.692,0.152,0.1033
4.696,0.1377,0.0847
4.7,0.1077,0.0885
4.704,0.0806,0.0499
4.708,0.0808,0.0703
4.712,0.0453,0.0402
4.716,0.0535,0.0413
4.72,0.0441,0.0485
4.724,0.047,0.0238
4.728,0.0295,0.0242
4.732,0.0295,0.0219
4.736,0.0156,0.0385
4.74,0.0038,-0.003
4.744,0.0029,0.0128
4.748,0.0053,0.0207
4.752,-0.0029,0.0145
4.756,-0.0207,0.0127
4.76,0.0077,0.0011
4.764,-0.0017,0.0111
4.768,0.0051,0.0044
4.772,0.0086,-0.0103
4.776,0.0007,-0.0117
4.78,-0.0076,0.0076
4.784,-0.0125,-0.0082
4.788,0.0111,0.0077
4.792,0.0037,0.0021
4.796,-0.0037,0.013
4.8,0.0046,-0.0125
4.804,0.0119,0.0079
4.808,-0.0088,0.0028
4.812,0.0131,0.0059
4.816,-0.0154,-0.0073
4.82,0.0065,0.0082
4.824,0.0163,-0.0117
4.828,-0.0054,-0.0067
4.832,0.0113,0.0004
4.836,-0.0017,0.0009
4.84,-0.003,0.0152
4.844,0.0002,0.0192
4.848,0.0102,-0.0051
4.852,-0.0104,-0.0136
4.856,-0.0146,0.0141
4.86,0.0011,-0.0086
4.864,-0.0094,-0.0086
4.868,0.0085,-0.0062
4.872,0.0015,0.0071
4.876,0.0081,0.0054
4.88,-0.0043,0.0101
4.884,-0.0046,-0.0123
4.888,0.0052,-0.0125
4.892,0.0034,0.006
4.896,-0.0019,-0.0
4.9,-0.0054,-0.0134
4.904,-0.0186,0.0039
4.908,-0.01,0.0047
4.912,-0.0121,-0.0077
4.916,0.0055,0.0248
4.92,0.0036,-0.0062
4.924,-0.0077,-0.0022
4.928,0.0019,0.0068
4.932,0.0015,-0.0166
4.936,-0.0171,-0.0118
4.94,-0.0146,-0.0081
4.944,-0.0033,-0.0039
4.948,0.0071,-0.0112
4.952,0.0001,-0.0006
4.956,-0.0134,-0.0014
4.96,-0.0115,0.0048
4.964,0.0084,-0.0095
4.968,0.0083,-0.0053
4.972,-0.0016,0.0136
4.976,0.0133,0.0074
4.98,0.0097,-0.0017
4.984,0.006,-0.0029
4.988,-0.0025,0.0139
4.992,0.0053,0.0067
4.996,0.016,0.01
5.0,0.0059,0.0046
5.004,0.0408,0.0213
5.008,0.0386,0.0314
5.012,0.0548,0.0381
5.016,0.0608,0.0364
5.02,0.0947,0.0567
5.024,0.1196,0.0737
5.028,0.1258,0.0858
5.032,0.1507,0.0889
5.036,0.1483,0.1027
5.04,0.1255,0.0861
5.044,0.1565,0.1176
5.048,0.1385,0.1142
5.052,0.1174,0.0893
5.056,0.1136,0.0799
5.06,0.0987,0.069
5.064,0.0646,0.0402
5.068,0.0707,0.0433
5.072,0.0235,0.023
5.076,0.026,0.0187
5.08,0.0274,0.0171
5.084,0.0087,0.0267
5.088,0.0185,0.0102
5.092,-0.0059,0.0045
5.096,-0.0016,-0.0029
5.1,0.002,0.0002
5.104,-0.0095,0.0093
5.108,0.0024,-0.011
5.112,-0.0097,0.0066
5.116,-0.0008,-0.0136
5.12,-0.0096,0.0014
5.124,-0.0102,0.0068
5.128,0.0263,-0.0028
5.132,0.0042,0.0094
5.136,0.0012,-0.0158
5.14,-0.0177,-0.0074
5.144,0.0173,-0.0006
5.148,-0.0161,0.0052
5.152,0.0083,0.0042
5.156,-0.0071,-0.0144
5.16,-0.0018,-0.0197
5.164,-0.0137,-0.0125
5.168,-0.0367,-0.0318
5.172,-0.0677,-0.0403
5.176,-0.1246,-0.0831
5.18,-0.1178,-0.073
5.184,-0.0004,0.0319
5.188,0.2283,0.1383
5.192,0.568,0.3696
5.196,0.8671,0.604
5.2,0.976,0.6884
5.204,0.8477,0.5919
5.208,0.5174,0.3685
5.212,0.1692,0.1068
5.216,-0.0814,-0.0658
5.22,-0.2033,-0.1266
5.224,-0.2069,-0.1482
5.228,-0.1333,-0.0992
5.232,-0.1063,-0.0423
5.236,-0.0345,-0.0301
5.24,-0.0067,-0.0066
5.244,0.0132,0.0058
5.248,-0.0034,-0.01
5.252,0.0016,0.0014
5.256,0.0109,-0.0003
5.26,-0.0198,-0.0018
5.264,0.0126,-0.0065
5.268,-0.0012,0.0037
5.272,-0.0065,-0.0004
5.276,-0.0031,-0.0016
5.28,-0.0137,-0.0119
5.284,0.0092,0.0014
5.288,0.0121,0.0233
5.292,0.0024,-0.0026
5.296,0.0009,0.0053
5.3,-0.0141,0.0113
5.304,-0.0008,-0.013
5.308,0.0065,-0.0165
5.312,0.0121,-0.0001
5.316,0.0029,-0.0062
5.32,-0.0068,0.0147
5.324,-0.0005,-0.0143
5.328,-0.0055,-0.0015
5.332,-0.0152,0.0023
5.336,0.0149,0.0083
5.34,0.0068,0.0051
5.344,-0.0095,0.0154
5.348,0.0031,0.0052
5.352,0.004,0.0023
5.356,-0.0081,0.0041
5.36,0.0021,0.0088
5.364,0.0231,0.0261
5.368,0.0204,0.0276
5.372,0.0262,0.0171
5.376,0.0506,0.0207
5.38,0.0208,0.038
5.384,0.048,0.0226
5.388,0.0556,0.0197
5.392,0.0771,0.044
5.396,0.0714,0.0591
5.4,0.1133,0.0953
5.404,0.1274,0.0987
5.408,0.1601,0.09
5.412,0.1647,0.0925
5.416,0.1833,0.1406
5.42,0.2198,0.1513
5.424,0.2198,0.1709
5.428,0.2672,0.1592
5.432,0.2757,0.1785
5.436,0.2936,0.1814
5.44,0.2847,0.2097
5.444,0.3012,0.2065
5.448,0.2943,0.2139
5.452,0.3267,0.216
5.456,0.2719,0.1986
5.46,0.2919,0.2034
5.464,0.2989,0.1953
5.468,0.2623,0.1844
5.472,0.2367,0.1793
5.476,0.2361,0.1549
5.48,0.2213,0.1514
5.484,0.2016,0.1328
5.488,0.1823,0.1178
5.492,0.1483,0.0973
5.496,0.1195,0.0864
5.5,0.1148,0.0833
5.504,0.0872,0.0612
5.508,0.0764,0.0612
5.512,0.0812,0.0227
5.516,0.0544,0.0343
5.52,0.0379,0.0183
5.524,0.0329,0.0315
5.528,0.0274,0.004
5.532,0.0093,0.0075
5.536,0.0169,-0.0034
5.54,0.0112,-0.0001
5.544,-0.0115,0.0313
5.548,0.0047,-0.008
5.552,0.0172,0.0065
5.556,-0.0025,0.0129
5.56,0.0076,0.0092
5.564,0.0005,-0.0128
5.568,-0.008,-0.0046
5.572,0.0023,0.0153
5.576,-0.0031,0.0017
5.58,0.0164,-0.0128
5.584,-0.0117,0.0105
5.588,0.0204,0.0017
5.592,-0.0103,-0.0033
5.596,-0.0144,-0.0044
5.6,-0.0011,-0.0024
5.604,0.0096,-0.0077
5.608,0.0043,-0.008
5.612,0.0012,-0.0031
5.616,-0.0236,-0.0025
5.62,-0.0086,0.0035
5.624,-0.0009,-0.003
5.628,-0.0139,0.0137
5.632,-0.0106,0.0087
5.636,0.0041,-0.0079
5.64,-0.005,-0.0143
5.644,-0.0166,0.0018
5.648,0.0242,0.003
5.652,-0.0087,0.0105
5.656,-0.0193,0.0051
5.66,0.0138,-0.0084
5.664,-0.0048,-0.0031
5.668,0.0043,-0.0196
5.672,-0.0055,0.0031
5.676,0.0159,0.007
5.68,0.0015,0.0032
5.684,0.0059,0.0083
5.688,-0.0024,-0.0061
5.692,-0.0137,0.0011
5.696,0.0025,-0.0041
5.7,0.0054,0.0036
5.704,-0.0066,0.0111
5.708,-0.0029,0.0081
5.712,-0.0159,0.0002
5.716,0.0008,-0.0049
5.72,-0.0103,-0.0248
5.724,-0.0091,0.0038
5.728,0.0095,-0.0044
5.732,0.0002,-0.0073
5.736,-0.007,0.0017
5.74,0.0004,-0.0082
5.744,-0.0189,-0.0242
5.748,0.0021,-0.0081
5.752,-0.0178,-0.0095
5.756,-0.0045,-0.0079
5.76,0.006,-0.0057
5.764,0.0037,0.0002
5.768,-0.0109,0.0033
5.772,0.0015,0.001
5.776,0.0113,-0.0024
5.78,0.0107,-0.0039
5.784,-0.0174,0.0294
5.788,-0.0015,0.0061
5.792,0.0138,0.0094
5.796,0.0287,0.009
5.8,0.0145,0.0263
5.804,0.0268,0.0249
5.808,0.0362,0.0171
5.812,0.063,0.0245
5.816,0.0694,0.0535
5.82,0.0751,0.0816
5.824,0.1091,0.0678
5.828,0.1351,0.0898
5.832,0.136,0.0811
5.836,0.1438,0.1117
5.84,0.1489,0.1082
5.844,0.1443,0.1008
5.848,0.1387,0.0676
5.852,0.1417,0.0764
5.856,0.1085,0.0839
5.86,0.1046,0.0507
5.864,0.074,0.0494
5.868,0.0597,0.0335
5.872,0.0426,0.0351
5.876,0.0437,0.0167
5.88,0.0265,0.0113
5.884,0.0148,-0.0061
5.888,-0.0014,0.0137
5.892,0.0176,-0.0065
5.896,-0.0234,0.0019
5.9,0.0029,0.003
5.904,0.0056,0.0071
5.908,0.0033,0.0007
5.912,-0.0079,-0.0193
5.916,-0.0073,0.0073
5.92,-0.0132,-0.0149
5.924,-0.014,-0.0117
5.928,0.0132,0.019
5.932,0.0003,0.0116
5.936,-0.001,0.0188
5.94,0.0086,0.001
5.944,-0.0217,0.0044
5.948,0.0125,0.0052
5.952,0.0137,0.0093
5.956,-0.001,0.0215
5.96,-0.0213,-0.0029
5.964,-0.0188,-0.0333
5.968,-0.0428,-0.0279
5.972,-0.0886,-0.0497
5.976,-0.1283,-0.0895
5.98,-0.1248,-0.0947
5.984,0.0138,0.0074
5.988,0.2441,0.1758
5.992,0.575,0.3756
5.996,0.8568,0.5861
6.0,0.9788,0.6864
6.004,0.8384,0.6023
6.008,0.5266,0.3604
6.012,0.1589,0.1129
6.016,-0.0875,-0.0297
6.02,-0.2025,-0.1113
6.024,-0.1996,-0.1373
6.028,-0.1535,-0.1036
6.032,-0.074,-0.0727
6.036,-0.018,-0.0044
6.04,-0.0113,-0.0251
6.044,0.0033,0.0066
6.048,0.0017,0.0065
6.052,0.0058,0.0097
6.056,-0.0067,-0.0098
6.06,-0.0088,-0.006
6.064,0.0004,-0.0056
6.068,0.0033,-0.0122
6.072,-0.0013,-0.0038
6.076,-0.0156,-0.0157
6.08,0.0051,-0.0092
6.084,-0.0013,-0.0038
6.088,-0.008,0.0147
6.092,0.001,0.0052
6.096,-0.0103,0.0054
6.1,0.0146,-0.0056
6.104,0.0015,-0.0154
6.108,0.0155,-0.0193
6.112,0.0086,-0.0167
6.116,0.0162,0.009
6.12,0.0044,0.0051
6.124,0.0175,-0.0005
6.128,0.0063,-0.0156
6.132,-0.0062,-0.0067
6.136,-0.0083,0.0008
6.14,-0.0109,-0.016
6.144,-0.0091,0.0109
6.148,0.0007,0.0084
6.152,0.0115,0.0006
6.156,0.0137,0.0151
6.16,0.0198,0.0159
6.164,0.0293,0.0103
6.168,0.0133,0.0199
6.172,0.0308,0.0152
6.176,0.0337,0.041
6.18,0.0528,0.0252
6.184,0.0401,0.0496
6.188,0.0706,0.0526
6.192,0.0714,0.0496
6.196,0.0923,0.0554
6.2,0.112,0.0931
6.204,0.1385,0.0966
6.208,0.1421,0.1055
6.212,0.1587,0.1213
6.216,0.1865,0.1147
6.22,0.2153,0.161
6.224,0.2389,0.1437
6.228,0.2436,0.1729
6.232,0.2612,0.1675
6.236,0.2795,0.1864
6.24,0.2702,0.2101
6.244,0.2933,0.1998
6.248,0.3243,0.212
6.252,0.2889,0.2047
6.256,0.2931,0.2071
6.26,0.2876,0.2073
6.264,0.2717,0.2062
6.268,0.2666,0.1943
6.272,0.2314,0.1706
6.276,0.22,0.1522
6.28,0.1954,0.1403
6.284,0.1738,0.1236
6.288,0.1816,0.1139
6.292,0.1461,0.1077
6.296,0.1343,0.0936
6.3,0.1033,0.0765
6.304,0.0936,0.0647
6.308,0.0723,0.0574
6.312,0.0427,0.0406
6.316,0.0511,0.0352
6.32,0.0535,0.0181
6.324,0.03,0.0411
6.328,0.0348,0.0137
6.332,0.0099,0.0161
6.336,0.0132,0.006
6.34,0.0236,0.0065
6.344,0.0031,0.002
6.348,0.001,-0.0009
6.352,-0.0143,-0.0028
6.356,0.0178,0.0033
6.36,0.0124,-0.015
6.364,0.0005,-0.0058
6.368,-0.004,-0.0155
6.372,0.0063,0.0147
6.376,-0.0012,-0.004
6.38,0.0199,0.0246
6.384,-0.0155,-0.011
6.388,-0.0065,0.0131
6.392,0.0052,0.0044
6.396,-0.0133,-0.0039
6.4,0.0075,0.0004
6.404,-0.0034,0.0031
6.408,0.0048,0.0037
6.412,-0.0085,0.0139
6.416,-0.0044,0.0047
6.42,-0.0084,0.0059
6.424,-0.0014,-0.0144
6.428,-0.0065,0.0014
6.432,-0.0122,0.0142
6.436,0.012,0.0148
6.44,-0.001,-0.0035
6.444,0.0005,-0.0043
6.448,0.0181,-0.0049
6.452,-0.0074,-0.0062
6.456,0.0094,0.0093
6.46,-0.005,-0.0029
6.464,-0.0013,0.0157
6.468,0.0008,0.0211
6.472,-0.0157,0.0121
6.476,0.0162,0.003
6.48,0.0307,-0.0093
6.484,-0.0052,0.0018
6.488,-0.0109,-0.0062
6.492,0.0201,-0.0068
6.496,0.0032,0.002
6.5,0.0092,0.0137
6.504,-0.0014,-0.0041
6.508,0.0108,0.0009
6.512,-0.0098,-0.0119
6.516,0.0062,0.0107
6.52,0.001,0.0192
6.524,-0.0034,-0.0066
6.528,0.0011,0.001
6.532,0.0145,-0.0151
6.536,0.009,0.0171
6.54,-0.0187,0.0125
6.544,-0.0017,0.001
6.548,-0.0101,0.0114
6.552,0.0083,-0.0002
6.556,-0.0137,0.0098
6.56,-0.0,-0.0051
6.564,-0.001,0.0162
6.568,0.0245,0.0041
6.572,0.0149,0.0116
6.576,-0.012,0.0046
6.58,0.005,0.0044
6.584,0.0214,-0.0109
6.588,-0.0221,0.0021
6.592,0.0319,0.0075
6.596,0.0078,0.0
6.6,0.0074,-0.0039
6.604,0.0331,0.0271
6.608,0.0527,0.0283
6.612,0.0651,0.0422
6.616,0.0928,0.0451
6.62,0.0989,0.0573
6.624,0.1086,0.0732
6.628,0.1198,0.0818
6.632,0.1316,0.0951
6.636,0.1478,0.0907
6.64,0.1541,0.0936
6.644,0.1299,0.0989
6.648,0.1382,0.0817
6.652,0.1189,0.0925
6.656,0.115,0.0927
6.66,0.1146,0.0672
6.664,0.0724,0.048
6.668,0.0559,0.0248
6.672,0.0251,0.0115
6.676,0.0262,0.0328
6.68,0.0302,0.0131
6.684,0.0102,0.0038
6.688,0.0132,0.0097
6.692,0.0306,0.0043
6.696,0.005,0.0034
6.7,0.0156,0.0057
6.704,0.0111,0.0014
6.708,-0.0043,0.0097
6.712,-0.0034,-0.001
6.716,0.0057,-0.0057
6.72,0.003,-0.0016
6.724,0.0141,0.0128
6.728,0.009,0.002
6.732,-0.0009,0.0021
6.736,-0.0005,-0.0116
6.74,-0.0135,-0.0058
6.744,-0.003,0.0053
6.748,-0.0102,-0.0062
6.752,-0.0078,0.0134
6.756,-0.0044,-0.0029
6.76,-0.0075,-0.0037
6.764,-0.0041,-0.0148
6.768,-0.0359,-0.0282
6.772,-0.0809,-0.0729
6.776,-0.116,-0.075
6.78,-0.1138,-0.065
6.784,-0.0016,-0.0031
6.788,0.2346,0.1603
6.792,0.5668,0.3894
6.796,0.8692,0.6117
6.8,0.9702,0.6782
6.804,0.8487,0.6047
6.808,0.5393,0.3595
6.812,0.156,0.1062
6.816,-0.094,-0.0738
6.82,-0.202,-0.1485
6.824,-0.2142,-0.1479
6.828,-0.1383,-0.1025
6.832,-0.0765,-0.0655
6.836,-0.0374,-0.0338
6.84,-0.0126,0.0098
6.844,0.0078,0.008
6.848,0.0039,-0.0006
6.852,0.0028,-0.0062
6.856,0.0181,0.0143
6.86,0.0101,0.0084
6.864,0.0016,0.0108
6.868,-0.0077,0.0108
6.872,-0.0009,-0.0016
6.876,-0.0017,0.0134
6.88,0.0082,-0.0057
6.884,-0.0015,0.0223
6.888,0.0117,0.0118
6.892,0.0003,-0.0115
6.896,-0.0176,0.0106
6.9,0.0006,0.0001
6.904,-0.0115,-0.0099
6.908,-0.0001,-0.0127
6.912,-0.0013,0.0039
6.916,0.0006,-0.0075
6.92,-0.0004,0.0022
6.924,-0.004,-0.0012
6.928,0.0063,0.0015
6.932,0.0004,0.0114
6.936,-0.0025,0.0146
6.94,-0.0125,0.0002
6.944,0.0112,-0.0158
6.948,0.0036,-0.0042
6.952,0.001,0.0044
6.956,0.0011,0.0152
6.96,0.0239,0.0102
6.964,0.0151,0.0173
6.968,0.0204,0.0083
6.972,0.0139,0.0234
6.976,0.0424,0.0126
6.98,0.0383,0.0249
6.984,0.064,0.0328
6.988,0.0581,0.0517
6.992,0.0802,0.0623
6.996,0.1048,0.0528
7.0,0.1031,0.0759
7.004,0.122,0.09
7.008,0.1398,0.0999
7.012,0.1729,0.1266
7.016,0.1889,0.0959
7.02,0.1912,0.1271
7.024,0.2481,0.1586
7.028,0.2482,0.1894
7.032,0.2448,0.1915
7.036,0.2694,0.1974
7.04,0.2848,0.199
7.044,0.2931,0.2113
7.048,0.2946,0.1968
7.052,0.2997,0.2129
7.056,0.296,0.2009
7.06,0.2958,0.2071
7.064,0.2569,0.1709
7.068,0.2645,0.1637
7.072,0.2502,0.1718
7.076,0.2406,0.1536
7.08,0.2123,0.1423
7.084,0.2006,0.1319
7.088,0.1561,0.1409
7.092,0.1404,0.0911
7.096,0.138,0.0921
7.1,0.1059,0.0899
7.104,0.0719,0.0577
7.108,0.0747,0.0601
7.112,0.0534,0.0454
7.116,0.0805,0.0327
7.12,0.0423,0.0258
7.124,0.0304,0.032
7.128,0.0058,0.0313
7.132,0.0028,0.0179
7.136,0.0228,-0.0111
7.14,0.0111,-0.0047
7.144,0.0173,-0.0009
7.148,0.015,0.0008
7.152,-0.0109,0.0098
7.156,0.0025,0.0075
7.16,0.0066,0.0012
7.164,-0.0042,-0.0143
7.168,-0.0026,0.0111
7.172,-0.0176,0.0036
7.176,0.0204,-0.001
7.18,0.0076,0.0043
7.184,-0.0048,-0.0098
7.188,-0.0123,-0.0055
7.192,-0.0153,0.0053
7.196,-0.0079,0.0095
7.2,0.0024,-0.0057
7.204,0.004,-0.0015
7.208,-0.0131,-0.0057
7.212,0.0031,-0.0021
7.216,0.0129,0.0083
7.22,-0.0036,0.0014
7.224,-0.0071,-0.0017
7.228,-0.0077,-0.0128
7.232,0.0176,0.0138
7.236,-0.0026,0.0155
7.24,0.0114,0.0011
7.244,-0.0001,-0.0115
7.248,-0.0141,0.0087
7.252,-0.0046,-0.0013
7.256,-0.0045,-0.0111
7.26,0.0008,0.0095
7.264,0.0009,0.0301
7.268,0.0096,-0.0029
7.272,0.0019,0.0136
7.276,-0.0087,0.0067
7.28,0.0089,-0.01
7.284,-0.0169,0.0198
7.288,-0.0019,0.0051
7.292,-0.0021,0.0075
7.296,0.0057,0.0137
7.3,-0.0372,-0.0106
7.304,-0.0071,0.0006
7.308,-0.0025,-0.0147
7.312,0.0048,-0.0115
7.316,0.0098,-0.0024
7.32,0.0092,0.0037
7.324,-0.0045,0.0024
7.328,0.0084,0.0114
7.332,-0.0027,-0.0109
7.336,-0.0062,0.0021
7.34,-0.0036,-0.0237
7.344,0.0059,-0.0149
7.348,-0.0073,-0.0007
7.352,-0.0065,0.0094
7.356,-0.0098,0.0071
7.36,0.0051,0.0081
7.364,-0.0101,0.0014
7.368,0.0107,-0.005
7.372,0.0062,-0.0145
7.376,-0.0192,0.0147
7.38,0.0162,0.0023
7.384,-0.0008,-0.0255
7.388,0.0143,0.0022
7.392,0.0167,0.0195
7.396,0.0003,-0.007
7.4,0.0391,0.0278
7.404,0.0373,0.0261
7.408,0.0389,0.0348
7.412,0.0659,0.0512
7.416,0.0766,0.0657
7.42,0.1029,0.0665
7.424,0.1103,0.0815
7.428,0.1226,0.0712
7.432,0.1319,0.0953
7.436,0.155,0.1234
7.44,0.1608,0.1003
7.444,0.1413,0.093
7.448,0.1428,0.0992
7.452,0.1302,0.0819
7.456,0.0886,0.0768
7.46,0.0762,0.0643
7.464,0.071,0.0656
7.468,0.0523,0.0279
7.472,0.0579,0.0336
7.476,0.0139,0.0265
7.48,0.0091,0.0102
7.484,0.0115,0.0162
7.488,0.0066,0.0104
7.492,0.0047,0.0245
7.496,0.01,0.0144
7.5,0.0007,-0.0069
7.504,-0.0301,-0.0013
7.508,0.0067,-0.0039
7.512,-0.0027,0.0081
7.516,-0.0053,0.0074
7.52,-0.0106,0.0058
7.524,-0.012,-0.0008
7.528,-0.0007,-0.0045
7.532,-0.0052,0.0079
7.536,0.0037,0.0095
7.54,0.0054,-0.0129
7.544,0.0096,-0.0081
7.548,0.0158,-0.0009
7.552,-0.007,-0.0096
7.556,-0.0132,-0.0095
7.56,-0.0107,0.0055
7.564,-0.0232,-0.0109
7.568,-0.0606,-0.0229
7.572,-0.0655,-0.0554
7.576,-0.1377,-0.0778
7.58,-0.112,-0.0843
7.584,0.0086,-0.0145
7.588,0.2255,0.1621
7.592,0.5581,0.3879
7.596,0.8491,0.5936
7.6,0.9953,0.6998
7.604,0.8507,0.5951
7.608,0.5272,0.3562
7.612,0.1788,0.1213
7.616,-0.0839,-0.0527
7.62,-0.208,-0.1513
7.624,-0.2058,-0.1509
7.628,-0.1667,-0.1034
7.632,-0.0962,-0.0566
7.636,-0.0453,-0.0328
7.64,-0.0093,-0.0228
7.644,-0.0051,0.0112
7.648,-0.0115,-0.0056
7.652,-0.0032,-0.0158
7.656,-0.005,-0.0093
7.66,-0.0115,0.0063
7.664,0.0172,-0.0148
7.668,0.0024,0.0129
7.672,-0.01,-0.0044
7.676,0.0026,-0.0079
7.68,0.0056,0.0086
7.684,-0.0104,0.0093
7.688,-0.014,0.0084
7.692,-0.0037,0.0327
7.696,0.0212,-0.0023
7.7,-0.0005,0.0116
7.704,0.0008,-0.0009
7.708,0.0145,0.002
7.712,0.0021,0.0126
